"","text"
"199","RT @UHCLTheSignal: QUESTION OF THE WEEK: Do you think #UHCL's response throughout the duration of Hurricane #Harvey was sufficient? Why? Wh…"
"200","Please consider helping w/ #Harvey flooding disaster recovery https://t.co/CnBAy2FEkh via @youcaring"
"201","We're talking tomorrow w/ 3 Tribune reporters on their #Harvey experiences &amp; what's next for Houston: https://t.co/ac0q5YWDJB #ttevents"
"202","Volunteers from Florida &amp; Iowa helping cleanup crews at C.E. King HS in @SheldonISD with #Harvey recovery. @KPRC2 6… https://t.co/ePyveGS4jS"
"203","Get used to seeing debris from #Harvey cleanups. https://t.co/gnah0hIDGf It will be with us for months. By… https://t.co/WnjNqvGMoP"
"204","RT @TXCapTonight: At 7 @TexasFarmBureau's Gene Hall on #Harvey's toll on ag industry: ""I hate to say it but I think you might lose some far…"
"205","Thinking of all the public employees who worked through labor day to beat back damage from the storm. https://t.co/WBedfeYYvf #harvey"
"206","@BarReNaples @rainrainrain77 @adair1946 @voter1vote @LewisCo86458825 @GodsWordIsFree @The_Dixon_Cider @Simeagh… https://t.co/KgIuGjJfWn"
"207","I just bought my copy of ""An Inconvenient Deception"" by Roy Spencer. I revel in the liberal bleating after #Harvey.

https://t.co/umQ5TAT3Ma"
"208","Anyone else see that #Harvey and #Irma are God's revenge for Republicans and so-called ""Christians"""
"209","RT @abc13houston: VOLUNTEERS NEEDED: @cohoustonfire Station 44 cooking this AM for #Harvey victims. How you can help https://t.co/0uZqkNQqz…"
"210","RT @Meagan_Flynn: Pretty repulsive. Glad this wasn't the attitude of our Houston and Harris County law enforcement during #Harvey. https://…"
"211","RT @TexasWatch: For those impacted by #Harvey, we stand with you. We support you. We are with you. https://t.co/MIWVdMy8Qy"
"212","RT @casaelbuen: We have a lot of resources. If you need help cleaning your home of debris after #Harvey register now! #HouRecovers #houston…"
"213","RT @imkevinquinn: If you are looking for a place to help w/ #harvey cleanup, there's many homes in Valley Lodge near Simonton where they ca…"
"214","$500 relief to @CLEAT members devasted by #Harvey. https://t.co/GvQsKNEktD"
"215","RT @HPMNews887: #HarrisCounty delays hundreds of trials due to #Harvey damage https://t.co/swpYD0PC1R #houstonflood https://t.co/niPqbP0hwf"
"216","RT @MoPD_Houston: Thank you Sprint for donating materials to support communication access in our #Harvey shelters! #HoustonStrong https://t…"
"217","RT @TexasAppleseed: Do you have insurance claims questions because of #Harvey? Our blog features a simple Q-and-A fact sheet w/ info https:…"
"218","As a Beaumont resident post-#Harvey, I give <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> to: @kfdmnews @HEB @Cityofbmt @EntergyTX @verizon @fema @RedCross @sojournbeaumont @JJWatt"
"219","#HarrisCounty delays hundreds of trials due to #Harvey damage https://t.co/tul7YKqWEd #houstonflood https://t.co/Yk3n9BYrBD"
"220","#HarrisCounty delays hundreds of trials due to #Harvey damage https://t.co/swpYD0PC1R #houstonflood https://t.co/niPqbP0hwf"
"221","#HarrisCounty delays hundreds of trials due to #Harvey damage https://t.co/gHboYkOg9J #houstonflood https://t.co/Zok7jubcoY"
"222","RT @AntonioArellano: More than a week after #Harvey, families still searching for 14 missing loved ones in #Texas 

https://t.co/ZxJoacEq3z"
"223","It's so hard to describe the devastation left behind by #Harvey. Here in Porter, TX -- every person I've talked to… https://t.co/IUodB7nJZF"
"224","At 7 @TexasFarmBureau's Gene Hall on #Harvey's toll on ag industry: ""I hate to say it but I think you might lose so… https://t.co/DiehfauSZO"
"225","@AuthenticTX @ThomasWictor #TexasProud here also!! We showed the world our strength &amp; unity and what it means to be… https://t.co/B8QDPFWnbF"
"226","RT @davidnguyeng: Praying to all of those in the Caribbean &amp; also praying that #HurricaneIrma doesn't make landfall on Florida. #Harvey was…"
"227","#texasstrong #notonlyHouston #Harvey #2017<U+2764><U+FE0F> @ House of Gore https://t.co/eWnYzGl5w0"
"228","RT @TexasTribune: As classes resume at @UHouston, students, faculty and staff are finding ways to help each other after #Harvey: https://t.…"
"229","Family seeks answers after city employee disappears without a trace during #Harvey https://t.co/4ksciUU0Ob"
"230","RT @HoustonChron: Your commute will be a mess their morning, and for some time to come. https://t.co/dKOIVhjw5e #harvey #houtraffic #hounew…"
"231","Hurricane #Harvey: Stag Provisions’ Flea Market to benefit relief fund https://t.co/73h0WTnWFz https://t.co/B1vHK3b0CG"
"232","RT @TexasSouthern: Thank you @Boporter16Bo for honoring our First Responders for their work during #Harvey keeping our students and campus…"
"233","RT @theadvocatebr: The #CajunNavy is on its way to Houston to help with #Harvey recovery. Read about the group's past heroics here: https:/…"
"234","RT @RepGeneGreen: If you have questions about #Harvey disaster recovery or insurance claims, please visit my website for more info: https:/…"
"235","Crews begin pumping water from flooded Beltway 8 West. Story and photos --&gt; https://t.co/Tf9RSsOXxK #HoustonFlood… https://t.co/MS3YQcmdeh"
"236","If you have questions about #Harvey disaster recovery or insurance claims, please visit my website for more info:… https://t.co/lQgxluhQ2X"
"237","RT @chronMC: Hurricane recovery humor. #harvey  Seen in Westbury https://t.co/CVCaybFvwG"
"238","Don't miss @RKCelebrityJam https://t.co/6H9Sy2jOhd Support #Harvey Get autographs Drink beer Homeruns by me @comontater @WillymfBraun"
"239","If you're wondering why traffic is horrible... #Beltway8 #Harvey #Abc13 https://t.co/vH76wWcgua"
"240","RT @BeckyWallace1: First box of picture books is ready to go! 106 books just in this box! I can barely lift it!! #BooksForHouston #Harvey #…"
"241","RT @AufstandS21: <ed><U+00A0><U+00BC><ed><U+00B6><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><ed><U+00A0><U+00BD><ed><U+00B0><U+00BE><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>Please<ed><U+00A0><U+00BD><ed><U+00B9><U+008F> help sharing<U+203C><U+FE0F>Thanks for helping to spread the word about how we can help displaced pets <ed><U+00A0><U+00BD><ed><U+00B8><U+00BF> #Harvey Texas https…"
"242","@chaosbria My copy of Phasma is still stuck in some #Harvey created Amazon time-warp. Not going to arrive till the 14th..."
"243","Doing a very special live show in Los Angeles to benefit those affected by #Harvey. Please join me and support! Tix… https://t.co/jhBMA5hkRk"
"244","If #Harvey hadn't caused enough damage already, I find out today that we are ""field-less"" as the county is using the park for debris!"
"245","RT @HoustonMatters: Advice: How To File Claims After #Harvey @HoustonPubMedia @HPMNews887 #HouNews 
https://t.co/PnhBoMVZBJ https://t.co/E9…"
"246","RT @TexasDSHS: [News release]: Texas to conduct aerial #mosquito control over Refugio, Bee counties in wake of #Harvey. Read it at https://…"
"247","RT @mattlanza: #Harvey left me feeling more shaken &amp; emotional than any weather event I've handled. My retrospective @SpaceCityWX: https://…"
"248","RT @KXAN_News: J.J. Watt Foundation gets $5M from @HEB chairman for #Harvey relief
https://t.co/qLf9oOuRKP https://t.co/GlpO4r4MtJ"
"249","RT @SenTedCruz: Heidi, the girls, my staff &amp; I are proud to serve #TX &amp; lend a helping hand to those impacted by #Harvey in #Houston today.…"
"250","#harvey #HarveyRelief Please get bottled water to the evacuees who are staying at Gallery Furniture in Houston if y… https://t.co/VUT4Mj4m0H"
"251","RT @HoustonHealth: Do not eat any food that came in contact with #Harvey floodwaters. When in doubt, throw it out. https://t.co/weYGLK2U9U…"
"252","RT @HoustonHealth: If #Harvey rain or floodwaters got into your home, take steps to prevent #mold growth. https://t.co/weYGLK2U9U  #HouReco…"
"253","We are planning to open 30 school sites in #HOUSTON #Harvey #Houstonstrong  https://t.co/TA6W3ryHO0  Donate here: https://t.co/v09aVgmvVq"
"254","Crews working to get Beltway 8 open again!  #abc13 #Harvey https://t.co/IWNIcJ2v0r"
"255","RT @HoustonHealth: WIC clients who evacuated, lost their WIC card or food benefits can replace them at #Harvey WIC sites. https://t.co/bON0…"
"256","“@PoojaOnTV: Wondering why you're stuck I traffic?  So, this is Beltway 8 at Boheme... #abc13 #Harvey https://t.co/hfQePrRqHY”"
"257","We want you to #TurnToTed on Facebook Live at 6 for all your questions on renter's rights linked to #Harvey. Submit… https://t.co/RaSOlVCeNJ"
"258","RT @HoustonHealth: If #Harvey rain or floodwaters got into your home, take steps to prevent #mold growth. https://t.co/T6xDUSHh6s  #HouReco…"
"259","Advice: How To File Claims After #Harvey @HoustonPubMedia @HPMNews887 #HouNews 
https://t.co/PnhBoMVZBJ https://t.co/E9raNvwme7"
"260","#State, #Local Officials Meet With #CabinetMembers To Discuss #Infrastructure Plan #Harvey https://t.co/G66oqvqBxT"
"261","RT @abc13houston: WATT A DONATION! @HoustonTexans star @JJWatt has raised $20M for #Harvey relief efforts with your help! THANK YOU, HOUSTO…"
"262","RT @hcfcd: If you were impacted by #Harvey and don't have flood insurance start by visiting https://t.co/J9zg7zfFNm or call @fema at 1-800-…"
"263",".@cincofb senior Josh Ofili was one of 87 Cougars displaced by #Harvey. He shared his experiences today: https://t.co/YG0bL9uzK7 #txhsfb"
"264","Mold &amp; reaction to mold allergies should be on our DDX for upper respiratory sx after #Harvey. Bring on the RT! https://t.co/dk6zEnpJjs"
"265","RT @SheriffEd_HCSO: Team @HCSOTexas is still hard at work helping our residents recover from #Harvey. We are with you. https://t.co/8S17FtX…"
"266","RT @TxCDD: Check out @DisRightsTx's new guide: #Housing Rights Information for People with #Disabilities Impacted by #Harvey

https://t.co/…"
"267","We have a lot of resources. If you need help cleaning your home of debris after #Harvey register now! #HouRecovers… https://t.co/eFixZyaSjp"
"268","RT @AliyyaSwaby: Tip sheet for families displaced by #Harvey who have students with disabilities: https://t.co/2FOdr30GZg #txed"
"269","RT @JNell74: #HurricaneIrma is the crazy ex girlfriend running after #Harvey <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>"
"270","RT @JanelleKHOU: After days of driving on empty, flooded roads, I never though I'd be so happy to see #HoustonTraffic! #Harvey #KHOU11 http…"
"271","RT @TSLAC: Texas State Library and Archives Commission to offer “Rebuilding Texas Libraries” Disaster Relief Grants #harvey https://t.co/nh…"
"272","I'm going to @SourceCon thanks to over $4700 raised by @Source_Houston for #Harvey relief. #HoustonSourcingCrew https://t.co/WAoSRUY3Ha"
"273","RT @TxDOTBeaumont: Small cattle drive on SH124 in BMT right now. Be careful, lots of livestock trying to find higher ground #Harvey https:/…"
"274","6pm on @abc13houston meet Bill Fly. The 99 year-old WWII vet who lost his home during #Harvey but is making a comeb… https://t.co/Dk0qNEwx7b"
"275","We have volunteers ready to help! Register to receive help cleaning your homes after #Harvey #Houstonstrong https://t.co/bhidKFyUvI"
"276","Did I do smethin to PO the climate? #Harvey hits #Texas and now #Irma headed to my hometown, #Miami. What's next? Jose headed to Colombia? <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>"
"277","RT @PoojaOnTV: Sitting in #Harvey traffic forces me to be more observant!  Did #Houston always have so many beautiful flags? #PassengerSeat…"
"278","RT @MagEGordon: #Harvey left everything in #Beaumont heavy &amp; wet w/ water. Still, there's nothing to drink. https://t.co/epmKVj8NbI @Housto…"
"279","@francis_urbaez @SaltStack I've cobbled some things together but don't have any real documentation.  Once things ha… https://t.co/sHqEVqGGUF"
"280","RT @HoustonPubMedia: In post-Harvey recovery, Houston schools feeding thousands of families a day https://t.co/zfRAAu7wMe #harvey #houstons…"
"281","Sept. 6: Here's our 5 p.m. update on #Harvey restoration in #Texas. #HurricaneHarvey https://t.co/o6Lcz9RKSd https://t.co/cAdQ7p4M9D"
"282","New #Blog post.  #Hurricane #HurricaneHarvey #TexasStrong #TexasFlood #Harvey #HarveyRelief #Deepintheheartoftexas https://t.co/wRMyZUL98T"
"283","FROM @TxDOT and @HCTRA |  Workng Together to Restore West Houston Mobility #Harvey https://t.co/WTdxqqsfrk https://t.co/PowP1q6mug"
"284","In post-Harvey recovery, Houston schools feeding thousands of families a day https://t.co/zfRAAu7wMe #harvey… https://t.co/W2mqV08oUi"
"285","In post-Harvey recovery, Houston schools feeding thousands of families a day https://t.co/l067yvckQ0 #harvey… https://t.co/w065FMHLdN"
"286","In post-Harvey recovery, Houston schools feeding thousands of families a day https://t.co/xTKz8ZhDZr #harvey… https://t.co/oY3vfJqiHL"
"287","Due to the after-effects of Hurricane #Harvey, the date and location for this event have changed.… https://t.co/u8QuIrz4mg"
"288","RT @HoustoniaMag: These Houstonians kayaked around Houston during #Harvey saving the lives of those stranded in the floodwaters.
https://t.…"
"289","RT @ExxonMobilBTA: Thank you @RedWingShoes for stopping by to replace our employees’ boots ruined during #Harvey recovery. https://t.co/Xdp…"
"290","Even though #Harvey's aftermath will test our resolve, it will never break our spirit. #409Strong #TexasStrong https://t.co/6JjAu73QQZ"
"291","We have more #volunteers! Please sign up homeowners you know need #help with cleanup from #harvey! #houstonrelief… https://t.co/3lFPzVDtcK"
"292","RT @KBTXNews: Texas Railroad Commission says the gas supply in the state is quickly recovering after #Harvey. https://t.co/YOaYgPKTUh"
"293","RT @TXBarCollege: Excited to announce our Board has approved donating $20,000—$10,000 each to @HVLPtweets &amp; @LStarLegal—for #Harvey #LegalA…"
"294","RT @HoustonISD: .@Hilliard_Elem is among #HISD schools that suffered ‘extensive’ damage in #Harvey. Here's an update on our campuses https:…"
"295","RT @TexasTribune: We want to hear from families who were displaced by #Harvey and are trying to get their children back in school. https://…"
"296","RT @ATXFlood: All volunteer #Harvey Counsiling Hotline. Free! 
""Get the help you need for the damage you can't see!"" Call 832-981-3233 
#Ha…"
"297","The National Guard is using Johnson Coliseum as a base of operations amid Hurricane #Harvey relief efforts.

https://t.co/aYiMHtEMIC"
"298","RT @AmyStarnes: Today's collection of important links, media stories: State Bar of Texas #Harvey Media Reports – Sept. 6, 2017 https://t.co…"
"299","Do homeowners suing over reservoir releases have a case? #Harvey #HouNews 
https://t.co/3VvlHlprfR https://t.co/2lnCrinmpa"
"300","Picking Up the Pieces: #Employer Responsibilities in the Aftermath of #Harvey | https://t.co/8ng5522UOt (via @Littler) #riskmanagement"
